country,season,band,predictor,cv_corr,p_perm,q_bh
Kenya,JAS,Central,atl3,-0.09,0.2446,0.5434
Kenya,JAS,Central,tna,0.088,0.0968,0.316
Kenya,JAS,Central,tsa,0.1,0.0958,0.316
Kenya,JAS,Central,atl_grad,-0.488,0.6353,0.7986
Kenya,JAS,Central,iod_dmi,-0.127,0.2859,0.5968
Kenya,JAS,Central,wvg2,0.354,0.0072,0.0443
Kenya,JAS,Central,wvg3,0.368,0.0036,0.024
Kenya,JJAS,Central,nino34,-0.198,0.3691,0.6508
Kenya,JJAS,Central,atl3,-0.127,0.2905,0.5968
Kenya,JJAS,Central,tna,-0.071,0.24,0.5407
Kenya,JJAS,Central,tsa,0.037,0.141,0.4177
Kenya,JJAS,Central,atl_grad,-0.819,0.9398,0.9457
Kenya,JJAS,Central,iod_dmi,-0.009,0.171,0.4682
Kenya,JJAS,Central,wvg2,-0.052,0.2138,0.5212
Kenya,JJAS,Central,wvg3,-0.052,0.2212,0.5212
Kenya,ASO,Central,nino34,-0.108,0.2705,0.5906
Kenya,ASO,Central,atl3,-0.245,0.4219,0.6763
Kenya,ASO,Central,tna,-0.063,0.2334,0.5334
Kenya,ASO,Central,tsa,-0.699,0.8714,0.9132
Kenya,ASO,Central,atl_grad,-0.197,0.3701,0.6508
Kenya,ASO,Central,iod_dmi,0.332,0.0082,0.0486
Kenya,ASO,Central,wvg2,-0.42,0.5873,0.783
Kenya,ASO,Central,wvg3,-0.487,0.6467,0.8016
Kenya,SON,Central,nino34,0.364,0.0044,0.0282
Kenya,SON,Central,atl3,-0.048,0.2172,0.5212
Kenya,SON,Central,tna,-0.189,0.3679,0.6508
Kenya,SON,Central,tsa,-0.36,0.5411,0.7556
Kenya,SON,Central,atl_grad,0.043,0.1224,0.3765
Kenya,SON,Central,iod_dmi,0.404,0.001,0.0107
Kenya,SON,Central,wvg2,0.265,0.018,0.0885
Kenya,SON,Central,wvg3,0.24,0.0232,0.1031
Kenya,OND,Central,nino34,0.489,0.0002,0.0064
Kenya,OND,Central,atl3,-0.106,0.2731,0.5906
Kenya,OND,Central,tna,-0.629,0.7898,0.8763
Kenya,OND,Central,tsa,-0.249,0.4351,0.6893
Kenya,OND,Central,atl_grad,-0.239,0.4183,0.6763
Kenya,OND,Central,iod_dmi,0.518,0.0002,0.0064
Kenya,OND,Central,wvg2,0.466,0.0004,0.008
Kenya,OND,Central,wvg3,0.445,0.0008,0.0091
Kenya,MAM,North,nino34,-0.174,0.3403,0.6508
Kenya,MAM,North,atl3,-0.545,0.6977,0.8393
Kenya,MAM,North,tna,-0.465,0.6139,0.7858
Kenya,MAM,North,tsa,-0.68,0.7982,0.8763
Kenya,MAM,North,atl_grad,-0.778,0.8732,0.9132
Kenya,MAM,North,iod_dmi,-0.134,0.2899,0.5968
Kenya,MAM,North,wvg2,-0.255,0.4187,0.6763
Kenya,MAM,North,wvg3,-0.199,0.3603,0.6508
Kenya,AMJ,North,nino34,0.11,0.0838,0.2977
Kenya,AMJ,North,atl3,-0.6,0.7397,0.8638
Kenya,AMJ,North,tna,-0.335,0.5041,0.737
Kenya,AMJ,North,tsa,-0.628,0.768,0.8686
Kenya,AMJ,North,atl_grad,-0.174,0.3455,0.6508
Kenya,AMJ,North,iod_dmi,-0.832,0.9668,0.9668
Kenya,AMJ,North,wvg2,0.066,0.1132,0.3551
Kenya,AMJ,North,wvg3,0.101,0.088,0.2995
Kenya,SON,North,nino34,0.387,0.0028,0.0213
Kenya,SON,North,atl3,0.003,0.166,0.4682
Kenya,SON,North,tna,-0.053,0.2154,0.5212
Kenya,SON,North,tsa,-0.379,0.5547,0.7651
Kenya,SON,North,atl_grad,0.116,0.0748,0.2719
Kenya,SON,North,iod_dmi,0.454,0.0006,0.0091
Kenya,SON,North,wvg2,0.291,0.0138,0.0747
Kenya,SON,North,wvg3,0.256,0.0188,0.0885
Kenya,OND,North,nino34,0.49,0.0008,0.0091
Kenya,OND,North,atl3,-0.125,0.2909,0.5968
Kenya,OND,North,tna,-0.35,0.5275,0.7536
Kenya,OND,North,tsa,-0.449,0.6201,0.7874
Kenya,OND,North,atl_grad,-0.062,0.2248,0.5212
Kenya,OND,North,iod_dmi,0.574,0.0002,0.0064
Kenya,OND,North,wvg2,0.448,0.0008,0.0091
Kenya,OND,North,wvg3,0.424,0.0004,0.008
