target,index,sst_fcst_skill,lead_predictability,ceiling_concurrent,hybrid,pure_mme_r
JAS Sahel,atl_grad,nan,0.001,-0.64,nan,-0.02
JAS Middle,atl3,nan,0.28,0.346,nan,-0.03
OND National,iod_dmi,0.901,0.163,0.18,-0.262,0.01
