target,domain,n_models,ceiling,rpss,groc,afc2,pearson
JAS Middle,global_tropical,4,0.36,-0.06545973809486894,0.48687604166666665,0.47231884057971013,-0.09307266420405959
JAS Middle,pacific,4,0.36,-0.11966974273585129,0.4425913194444444,0.4342028985507246,-0.1956842346295616
JAS Middle,atlantic,4,0.36,-0.07085212979471467,0.4883855324074074,0.47306763285024156,-0.08089279483351969
JAS Middle,indian,4,0.36,-0.06315539609880583,0.49380636574074077,0.4792028985507247,-0.06970092374897831
JAS Middle,gulf_guinea,4,0.36,-0.0705538256461522,0.48360567129629634,0.467512077294686,-0.09859050974005658
JAS Middle,precip_mos,4,0.36,-0.06050020115012478,0.4780829861111111,0.4735748792270531,-0.09614594865063474
JAS Sahel,global_tropical,4,0.23,-0.039973587488469686,0.5217541666666666,0.5192512077294686,0.03154469159596896
JAS Sahel,pacific,4,0.23,-0.08767572412153646,0.49431712962962965,0.4891787439613527,-0.06629833160556751
JAS Sahel,atlantic,4,0.23,-0.08060464784623722,0.48309467592592586,0.46695652173913044,-0.09312769460618299
JAS Sahel,indian,4,0.23,-0.13085051931777647,0.4411185185185185,0.4280193236714977,-0.24222786249370112
JAS Sahel,gulf_guinea,4,0.23,-0.09866220977885143,0.46477314814814824,0.4452415458937199,-0.13907448875366626
JAS Sahel,precip_mos,4,0.23,-0.05844678001361947,0.49770185185185184,0.4929227053140096,-0.051631800921871106
OND National,global_tropical,4,0.24,-0.10893634312804679,0.4576930067274305,0.4366394927536232,-0.16156792574621717
OND National,pacific,4,0.24,-0.08177501707742607,0.4619050089518229,0.43771135265700484,-0.14284491576671712
OND National,atlantic,4,0.24,-0.11821781404057785,0.43210903591579863,0.40709541062801935,-0.26283798603190855
OND National,indian,4,0.24,-0.10790928269782452,0.45959247730396413,0.4462786835748792,-0.15078392389642675
OND National,gulf_guinea,4,0.24,-0.1454165038071249,0.42456065990306713,0.39723731884057967,-0.31061781563697627
OND National,precip_mos,4,0.24,-0.05438637620404174,0.4901520679615163,0.4726675724637681,-0.0638697055743537
