country,season,band,predictor,cv_corr_dt,p_perm_dt,q_bh_dt
Kenya,AMJ,Central,wvg3,0.224,0.032,0.1113
Kenya,JJA,Central,nino34,-0.609,0.7185,0.8805
Kenya,JJA,Central,atl3,-0.445,0.5999,0.7867
Kenya,JJA,Central,tna,-0.719,0.887,0.9467
Kenya,JJA,Central,tsa,-0.266,0.4465,0.6862
Kenya,JJA,Central,atl_grad,-0.655,0.7776,0.9082
Kenya,JJA,Central,iod_dmi,0.024,0.1602,0.3661
Kenya,JJA,Central,wvg2,-0.633,0.7479,0.8805
Kenya,JJA,Central,wvg3,-0.628,0.7385,0.8805
Kenya,JAS,Central,nino34,0.227,0.0282,0.1049
Kenya,JAS,Central,atl3,-0.435,0.5847,0.7861
Kenya,JAS,Central,tna,-0.121,0.2919,0.5175
Kenya,JAS,Central,tsa,-0.223,0.3987,0.6444
Kenya,JAS,Central,atl_grad,-0.448,0.6093,0.7926
Kenya,JAS,Central,iod_dmi,-0.091,0.2507,0.4665
Kenya,JAS,Central,wvg2,0.237,0.0298,0.1059
Kenya,JAS,Central,wvg3,0.249,0.0234,0.0929
Kenya,JJAS,Central,nino34,-0.357,0.5199,0.7427
Kenya,JJAS,Central,atl3,-0.409,0.5727,0.7765
Kenya,JJAS,Central,tna,-0.281,0.4571,0.69
Kenya,JJAS,Central,tsa,-0.181,0.3631,0.599
Kenya,JJAS,Central,atl_grad,-0.826,0.9426,0.9668
Kenya,JJAS,Central,iod_dmi,-0.008,0.1714,0.3813
Kenya,JJAS,Central,wvg2,-0.337,0.5061,0.7361
Kenya,JJAS,Central,wvg3,-0.352,0.5253,0.7438
Kenya,ASO,Central,nino34,-0.051,0.2164,0.4222
Kenya,ASO,Central,atl3,-0.036,0.2058,0.4167
Kenya,ASO,Central,tna,-0.521,0.6883,0.8537
Kenya,ASO,Central,tsa,-0.138,0.3121,0.5314
Kenya,ASO,Central,atl_grad,-0.211,0.3813,0.6226
Kenya,ASO,Central,iod_dmi,0.389,0.0028,0.014
Kenya,ASO,Central,wvg2,-0.029,0.1994,0.4089
Kenya,ASO,Central,wvg3,-0.061,0.2272,0.4327
Kenya,SON,Central,nino34,0.379,0.0032,0.0155
Kenya,SON,Central,atl3,0.11,0.0794,0.219
Kenya,SON,Central,tna,-0.339,0.5195,0.7427
Kenya,SON,Central,tsa,0.093,0.0922,0.2379
Kenya,SON,Central,atl_grad,0.04,0.125,0.2984
Kenya,SON,Central,iod_dmi,0.398,0.0014,0.009
Kenya,SON,Central,wvg2,0.416,0.0016,0.0098
Kenya,SON,Central,wvg3,0.395,0.0018,0.0103
Kenya,OND,Central,nino34,0.491,0.0002,0.0036
Kenya,OND,Central,atl3,0.063,0.1132,0.2786
Kenya,OND,Central,tna,-0.652,0.7854,0.9098
Kenya,OND,Central,tsa,0.059,0.1074,0.2684
Kenya,OND,Central,atl_grad,-0.252,0.4333,0.6797
Kenya,OND,Central,iod_dmi,0.509,0.0002,0.0036
Kenya,OND,Central,wvg2,0.539,0.0002,0.0036
Kenya,OND,Central,wvg3,0.521,0.0002,0.0036
Kenya,MAM,North,nino34,-0.029,0.1916,0.4062
Kenya,MAM,North,atl3,-0.491,0.6549,0.8281
Kenya,MAM,North,tna,-0.698,0.7908,0.9098
Kenya,MAM,North,tsa,-0.441,0.5975,0.7867
Kenya,MAM,North,atl_grad,-0.782,0.878,0.9467
Kenya,MAM,North,iod_dmi,-0.122,0.2815,0.5119
Kenya,MAM,North,wvg2,0.045,0.1294,0.3044
Kenya,MAM,North,wvg3,0.057,0.1164,0.2821
Kenya,AMJ,North,nino34,0.197,0.0396,0.1293
Kenya,AMJ,North,atl3,-0.107,0.2851,0.5126
Kenya,AMJ,North,tna,-0.744,0.8262,0.9168
Kenya,AMJ,North,tsa,-0.176,0.3583,0.5972
Kenya,AMJ,North,atl_grad,-0.134,0.3019,0.5251
Kenya,AMJ,North,iod_dmi,-0.849,0.9746,0.9807
Kenya,AMJ,North,wvg2,0.255,0.023,0.0929
Kenya,AMJ,North,wvg3,0.269,0.0218,0.0918
Kenya,SON,North,nino34,0.407,0.0018,0.0103
Kenya,SON,North,atl3,0.182,0.0396,0.1293
Kenya,SON,North,tna,-0.238,0.4083,0.6503
Kenya,SON,North,tsa,0.145,0.0528,0.16
Kenya,SON,North,atl_grad,0.118,0.0686,0.1925
Kenya,SON,North,iod_dmi,0.451,0.0006,0.0051
Kenya,SON,North,wvg2,0.465,0.0006,0.0051
Kenya,SON,North,wvg3,0.435,0.0008,0.0058
Kenya,OND,North,nino34,0.498,0.0006,0.0051
Kenya,OND,North,atl3,0.123,0.0642,0.1867
Kenya,OND,North,tna,-0.581,0.7365,0.8805
Kenya,OND,North,tsa,0.07,0.1016,0.258
Kenya,OND,North,atl_grad,-0.08,0.241,0.4536
Kenya,OND,North,iod_dmi,0.563,0.0002,0.0036
Kenya,OND,North,wvg2,0.549,0.0002,0.0036
Kenya,OND,North,wvg3,0.527,0.0002,0.0036
