target,predictor_source,method,lead,transform,predictor_domain,eof_modes,downscale,generalized_roc,rpss,pearson_r,hit_rate
Kenya:MAM,gcm_index,regression,0,raw,iwhg,0,none,0.5179,-0.0241,0.075,0.324
Kenya:MAM,persistence,regression,0,raw,region,0,none,0.464,-0.0582,-0.0677,0.283
Kenya:MAM,obs_sst_field,cca,1,std_anom,indo_pacific,4,none,0.4388,-0.1277,-0.1576,0.2694
Kenya:MAM,gcm_mos_sst,cca,1,std_anom,indo_pacific,4,none,0.5147,-0.0661,-0.0313,0.3475
Kenya:MAM,obs_sst_field,cca,1,std_anom,indo_pacific,8,none,0.4873,-0.0926,-0.0142,0.3104
Kenya:MAM,gcm_mos_sst,cca,1,std_anom,indo_pacific,8,none,0.4926,-0.1051,-0.0767,0.3284
Kenya:MAM,obs_sst_field,cca,1,std_anom,indian,4,none,0.4454,-0.1624,-0.1659,0.2602
Kenya:MAM,gcm_mos_sst,cca,1,std_anom,indian,4,none,0.4771,-0.1129,-0.0864,0.3035
Kenya:MAM,obs_sst_field,cca,1,std_anom,indian,8,none,0.5118,-0.0913,0.0148,0.3237
Kenya:MAM,gcm_mos_sst,cca,1,std_anom,indian,8,none,0.507,-0.094,0.0164,0.3358
Kenya:MAM,obs_sst_field,cca,1,std_anom,pacific,4,none,0.4785,-0.0986,-0.0914,0.2973
Kenya:MAM,gcm_mos_sst,cca,1,std_anom,pacific,4,none,0.4947,-0.0847,-0.0599,0.3199
Kenya:MAM,obs_sst_field,cca,1,std_anom,pacific,8,none,0.4709,-0.1452,-0.092,0.2888
Kenya:MAM,gcm_mos_sst,cca,1,std_anom,pacific,8,none,0.485,-0.115,-0.0869,0.3034
Kenya:MAM,gcm_mos_precip,cca,1,std_anom,region,4,none,0.4844,-0.0676,-0.0501,0.3032
Kenya:MAM,gcm_mos_precip,cca,1,std_anom,region,8,none,0.4846,-0.0636,-0.0501,0.3028
Kenya:MAM,gcm_mos_precip,qm,1,std_anom,region,0,none,0.5905,-0.0083,0.25,0.3486
Kenya:MAM,obs_index,regression,1,std_anom,nino34,0,none,0.5039,-0.0373,0.0493,0.3288
Kenya:MAM,gcm_index,regression,1,std_anom,nino34,0,none,0.5043,-0.0295,0.0397,0.3185
Kenya:MAM,obs_index,regression,1,std_anom,iod,0,none,0.3945,-0.1125,-0.402,0.2098
Kenya:MAM,gcm_index,regression,1,std_anom,iod,0,none,0.4288,-0.0784,-0.2551,0.2554
Kenya:MAM,obs_index,regression,1,std_anom,wpg,0,none,0.4745,-0.0764,-0.1056,0.3101
Kenya:MAM,gcm_index,regression,1,std_anom,wpg,0,none,0.5051,-0.0454,-0.0097,0.3299
Kenya:MAM,obs_index,regression,1,std_anom,wvg,0,none,0.4619,-0.0811,-0.1399,0.2998
Kenya:MAM,gcm_index,regression,1,std_anom,wvg,0,none,0.5174,-0.0335,0.0463,0.342
Kenya:MAM,obs_index,regression,1,std_anom,iwhg,0,none,0.46,-0.0743,-0.1351,0.2874
